dateTime,Temperature,Humidity,Heater,Vent,Fan
2016-04-26 00:47:38,22.7,46.5,40,31,42
2016-04-26 00:48:08,22.8,46.0,40,31,42
2016-04-26 00:48:38,22.8,49.4,40,31,32
2016-04-26 00:49:08,22.8,48.1,40,31,42
2016-04-26 00:49:38,22.8,47.5,40,31,42
2016-04-26 00:50:08,22.8,46.9,40,31,42
2016-04-26 00:50:38,22.8,46.9,40,31,42
2016-04-26 00:51:08,22.8,47.2,40,31,42
2016-04-26 00:51:38,22.5,46.1,40,41,42
2016-04-26 00:52:08,22.2,46.1,40,31,32
2016-04-26 00:52:38,22.2,44.8,40,31,42
2016-04-26 00:53:08,22.1,44.5,40,31,42
2016-04-26 00:53:38,22.2,44.1,40,31,42
2016-04-26 00:54:08,22.2,45.1,40,31,42
2016-04-26 00:54:38,22.2,44.5,40,31,42
2016-04-26 00:55:08,22.3,45.5,40,31,42
2016-04-26 00:55:38,22.4,47.8,40,31,32
2016-04-26 00:56:08,22.4,46.2,40,31,42
2016-04-26 00:56:38,22.4,46.5,40,31,42
2016-04-26 00:57:06,22.5,45.6,40,31,42
2016-04-26 00:57:36,22.5,45.7,40,31,42
2016-04-26 00:58:08,22.5,46.1,40,31,42
2016-04-26 00:58:36,22.5,46.1,40,31,42
2016-04-26 00:59:06,22.6,49.0,40,31,32
2016-04-26 00:59:36,22.6,46.7,40,31,42
2016-04-26 01:00:06,22.6,46.7,40,31,42
2016-04-26 01:00:42,22.6,46.1,40,31,42
2016-04-26 01:01:06,22.6,46.6,40,31,42
2016-04-26 01:01:38,22.7,46.9,40,31,42
2016-04-26 01:02:06,22.7,46.5,40,31,42
2016-04-26 01:02:36,22.7,49.0,40,31,32
2016-04-26 01:03:06,22.7,47.7,40,31,42
2016-04-26 01:03:36,22.7,47.0,40,31,42
2016-04-26 01:04:06,22.7,46.5,40,31,42
2016-04-26 01:04:36,22.7,46.9,40,31,42
2016-04-26 01:05:06,22.8,46.8,40,31,42
2016-04-26 01:05:36,22.7,46.2,40,31,42
2016-04-26 01:06:06,22.8,49.0,40,31,32
2016-04-26 01:06:36,22.8,47.9,40,31,42
2016-04-26 01:07:06,22.8,47.2,40,31,42
2016-04-26 01:07:36,22.8,46.2,40,31,42
2016-04-26 01:08:06,22.8,46.9,40,31,42
2016-04-26 01:08:36,22.8,46.4,40,31,42
2016-04-26 01:09:08,22.7,45.8,40,31,42
2016-04-26 01:09:36,22.6,49.0,40,31,32
2016-04-26 01:10:06,22.3,46.6,40,41,42
2016-04-26 01:10:36,21.9,43.7,40,31,42
2016-04-26 01:11:06,21.7,44.8,40,31,42
2016-04-26 01:11:36,21.7,45.4,40,31,42
2016-04-26 01:12:06,21.6,44.1,40,31,42
2016-04-26 01:12:36,21.6,44.8,40,31,42
2016-04-26 01:13:06,21.6,47.7,40,31,32
2016-04-26 01:13:36,21.5,45.5,40,31,42
2016-04-26 01:14:06,21.5,45.7,40,31,42
2016-04-26 01:14:36,21.5,46.1,40,31,42
2016-04-26 01:15:06,21.5,46.5,40,31,42
2016-04-26 01:15:36,21.4,46.2,40,31,42
2016-04-26 01:16:06,21.4,46.4,40,31,42
2016-04-26 01:16:36,21.4,49.3,40,31,32
2016-04-26 01:17:06,21.4,47.1,40,31,42
2016-04-26 01:17:36,21.3,46.6,40,31,42
2016-04-26 01:18:06,21.3,46.3,40,31,42
2016-04-26 01:18:36,21.3,46.8,40,31,42
2016-04-26 01:19:06,21.3,46.6,40,31,42
2016-04-26 01:19:37,21.2,46.7,40,31,42
2016-04-26 01:20:07,21.2,49.6,40,31,32
2016-04-26 01:20:37,21.2,47.9,40,31,42
2016-04-26 01:21:07,21.2,47.6,40,31,42
2016-04-26 01:21:37,21.1,47.4,40,31,42
2016-04-26 01:22:07,21.1,47.0,40,31,42
2016-04-26 01:22:37,21.1,47.7,40,31,42
2016-04-26 01:23:07,21.1,48.1,40,31,42
2016-04-26 01:23:37,21.0,49.4,40,31,32
2016-04-26 01:24:07,21.0,48.2,40,31,42
2016-04-26 01:24:37,21.0,47.5,40,31,42
2016-04-26 01:25:09,20.9,48.3,40,31,42
2016-04-26 01:25:37,20.9,47.6,40,31,42
2016-04-26 01:26:07,20.9,46.4,40,31,42
2016-04-26 01:26:37,20.9,47.2,40,31,42
2016-04-26 01:27:07,20.9,50.0,40,31,32
2016-04-26 01:27:37,20.8,48.6,40,31,42
2016-04-26 01:28:07,20.9,48.3,40,31,42
2016-04-26 01:28:37,20.6,47.9,40,41,42
2016-04-26 01:29:07,20.2,45.7,40,31,42
2016-04-26 01:29:37,20.2,45.8,40,31,42
2016-04-26 01:30:07,20.2,46.1,40,31,42
2016-04-26 01:30:37,20.2,49.3,40,31,32
2016-04-26 01:31:07,20.2,47.5,40,31,42
2016-04-26 01:31:37,20.2,46.9,40,31,42
2016-04-26 01:32:07,20.2,46.9,40,31,42
2016-04-26 01:32:37,20.2,46.3,40,31,42
2016-04-26 01:33:07,20.2,46.3,40,31,42
2016-04-26 01:33:37,20.2,47.3,40,31,42
2016-04-26 01:34:07,20.3,49.2,40,31,32
2016-04-26 01:34:37,20.3,48.1,40,31,42
2016-04-26 01:35:07,20.3,47.4,40,31,42
2016-04-26 01:35:37,20.3,48.1,40,31,42
2016-04-26 01:36:07,20.3,47.6,40,31,42
2016-04-26 01:36:37,20.2,47.5,40,31,42
2016-04-26 01:37:07,20.2,47.2,40,31,42
2016-04-26 01:37:37,20.3,49.5,40,31,32
2016-04-26 01:38:07,20.2,48.7,40,31,42
2016-04-26 01:38:37,20.2,48.0,40,31,42
2016-04-26 01:39:07,20.2,47.2,40,31,42
2016-04-26 01:39:37,20.2,47.7,40,31,42
2016-04-26 01:40:07,20.2,46.9,40,31,42
2016-04-26 01:40:37,20.2,46.7,40,31,42
2016-04-26 01:41:07,20.2,49.3,40,31,32
2016-04-26 01:41:37,20.2,48.3,40,31,42
2016-04-26 01:42:07,20.2,48.6,40,31,42
2016-04-26 01:42:37,20.2,47.3,40,31,42
2016-04-26 01:43:07,20.1,48.2,40,31,42
2016-04-26 01:43:37,20.1,47.8,40,31,42
2016-04-26 01:44:09,20.1,48.3,40,31,42
2016-04-26 01:44:37,20.1,50.1,40,31,32
2016-04-26 01:45:07,20.1,49.0,40,31,42
2016-04-26 01:45:37,20.1,47.9,40,31,42
2016-04-26 01:46:07,20.1,47.6,40,31,42
2016-04-26 01:46:37,20.0,47.2,40,31,42
2016-04-26 01:47:07,19.8,47.8,40,41,42
2016-04-26 01:47:39,19.5,46.6,40,31,42
2016-04-26 01:48:07,19.5,46.9,40,31,32
2016-04-26 01:48:39,19.5,46.1,40,31,42
2016-04-26 01:49:07,19.5,45.7,40,31,42
2016-04-26 01:49:37,19.5,46.4,40,31,42
2016-04-26 01:50:07,19.5,45.8,40,31,42
2016-04-26 01:50:37,19.5,46.9,40,31,42
2016-04-26 01:51:07,19.5,47.2,40,31,42
2016-04-26 01:51:39,19.6,49.6,40,31,32
2016-04-26 01:52:07,19.6,47.4,40,31,42
2016-04-26 01:52:38,19.6,47.4,40,31,42
2016-04-26 01:53:12,19.6,46.8,40,31,42
2016-04-26 01:53:44,19.6,46.7,40,31,42
2016-04-26 01:54:08,19.6,47.0,40,31,42
2016-04-26 01:54:40,19.6,47.7,40,31,42
2016-04-26 01:55:08,19.6,49.9,40,31,32
2016-04-26 01:55:40,19.6,47.9,40,31,42
2016-04-26 01:56:08,19.6,47.7,40,31,42
2016-04-26 01:56:40,19.6,47.2,40,31,42
2016-04-26 01:57:08,19.6,47.0,40,31,42
2016-04-26 01:57:38,19.6,47.4,40,31,42
2016-04-26 01:58:08,19.6,48.2,40,31,42
2016-04-26 01:58:38,19.6,49.9,40,31,32
2016-04-26 01:59:08,19.6,48.4,40,31,42
2016-04-26 01:59:38,19.6,48.4,40,31,42
2016-04-26 02:00:08,19.6,48.2,40,31,42
2016-04-26 02:00:40,19.6,48.1,40,31,42
2016-04-26 02:01:08,19.5,48.0,40,31,42
2016-04-26 02:01:42,19.5,48.9,40,31,42
2016-04-26 02:02:08,19.5,50.4,40,31,32
2016-04-26 02:02:38,19.5,49.0,40,31,42
2016-04-26 02:03:08,19.5,48.3,40,31,42
2016-04-26 02:03:38,19.5,48.1,40,31,42
2016-04-26 02:04:08,19.5,47.7,40,31,42
2016-04-26 02:04:38,19.5,48.1,40,31,42
2016-04-26 02:05:06,19.5,47.4,40,31,42
2016-04-26 02:05:36,19.3,49.1,40,41,32
2016-04-26 02:06:06,19.0,45.4,40,31,42
2016-04-26 02:06:36,19.0,45.4,40,31,42
2016-04-26 02:07:06,18.9,46.1,40,31,42
2016-04-26 02:07:36,19.0,46.1,40,31,42
